    BX        W0          W1          W2          W3          W4          W5          W6          W7          W8          W9          W10         W11         W12         W13         W14         W15         W16         W17         W18         W19         W20         W21         W22         W23         W24         W25         W26         W27         W28         W29         W30         W31         W32         W33         W34         W35         W36         W37         W38         W39         W40         W41         W42         W43         W44         W45         W46         W47         W48         W49         W50         W51         W52         W53         W54         W55         W56         W57         W58         W59         W60         W61         W62         W63         W64         W65         W66         W67         W68         W69         W70         W71         W72         W73         W74         W75         W76         W77         W78         W79         W80         W81         W82         W83         W84         W85         W86         W87         W88         W89         W90         W91         W92         W93         W94         
0x000a   00070022    000eb89e    00070007    0000dc66    0007000b    000f18a0    00060006    000ffc5b    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000b    000de83f    0000000d    000e584e    0006000e    001fe45c    00070012    0010c46a    0000000b    00028c86    0000000f    000d7494    002b0050    001ed8a2    0000000a    00009cbe    0000000a    000320b9    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00080008    001ce09b    000b000b    0290d834    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    40000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    fe400000    
0x000b   00070022    000eb89e    0007000b    000f18a0    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000b    00028c86    0000000f    000d7494    002b0050    001ed8a2    0000000a    00009cbe    0000000a    000320b9    00000010    0000f4cf    0000000a    00001cda    0000000d    000e08da    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00090009    3ad1c4ec    000b000b    0871a4ea    00080008    001ce09b    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    fe400000    
0x000c   00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000e    0002c734    0000000c    000eeb2d    00000016    00022f55    00000015    000d3f53    00000013    00031b65    00000009    000ecb5e    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00090009    35ee5f67    00090009    044d934a    00090009    3fbe471b    000a000a    3a52e754    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    e7800000    
0x000d   0007002c    0002279b    0007001a    00022392    0007000b    000227a3    0007000a    00020fbf    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000016    00022f55    00000015    000d3f53    00000013    00031b65    00000009    000ecb5e    00000030    00017792    00480076    00121b98    00000011    000d3f96    0000000b    000f3f96    0000000d    0000c7b2    0000001d    000f6bb5    00000031    000173c3    000a003e    000217bf    00000000    00000000    00000000    00000000    00000000    00000000    0011001c    03e1c38f    00080008    03d27b90    000b000b    04130f94    00090009    35ee5f67    000c000c    02df9bbc    00090009    044d934a    000f000f    4411a7be    00130032    43c207c1    000a000a    3a52e754    00080008    3f400399    000c000c    0401dfa0    00000000    00000000    00000000    00000000    00000000    00000000    00000000    40000000    00000016    0001037f    00000000    00000000    e7800000    
0x000e   0007002c    0002279b    0007001a    00022392    0007000c    000227f2    0007000b    000227a3    0007000a    00020fbf    00060006    000f1be7    00070009    0000e807    00050005    000e2c1f    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000030    00017792    00480076    00121b98    00000011    000d3f96    0000000b    000f3f96    0000000d    0000c7b2    0000001d    000f6bb5    00000031    000173c3    000a003e    000217bf    000c001e    00121bf9    0000000f    000d77f9    0006001b    000eebf1    00090017    00110007    00000000    00000000    00000000    00000000    00000000    00000000    00080008    03d27b90    000b000b    04130f94    00100016    04a1dbd2    000c000c    02fdfbdc    000c000c    02df9bbc    000b000b    444fffe4    000b000b    7952dbdd    000d000d    3faef7f9    000a000a    028f17f7    000f000f    4411a7be    00130032    43c207c1    00090009    3c1d7ff7    00090009    3f4fe3f7    00080008    3f400399    00080008    3fb00bde    00000000    00000000    00000000    00000000    e7800000    
0x000f   0007000c    000227f2    00070009    000fe433    00060006    000f1be7    00070009    0000e807    00060006    000d3438    00050005    000e2c1f    00060006    000ec055    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000c001e    00121bf9    0000000f    000d77f9    0006001b    000eebf1    00090017    00110007    00000019    00010023    00000010    00028c23    00060010    001d3c31    0005001c    000e202b    00090036    000fc038    0006000e    001ec85c    00000011    000fac6a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000d000d    7c308445    000b000b    444fffe4    000b000b    7f9f5471    000d000d    3faef7f9    000a000a    028f17f7    00090009    3c1d7ff7    00090009    3f4fe3f7    000f0011    3a100066    00090009    7fbec82a    00000000    40000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    e7800000    
0x0010   00070009    000fe433    00060006    000d3438    00060006    000ec055    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00090036    000fc038    0006000e    001ec85c    00000011    000fac6a    0000000b    000e5878    0000000e    00001c86    00000018    00010089    0000000b    000d907f    0000000c    000f3c86    00000014    000250b0    0000000a    000ec8b0    0000000a    000184b9    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000d000d    7c308445    000e000e    3a603c8c    000b000b    7f9f5471    00090009    3a0d647c    000f0011    3a100066    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    40000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    e7800000    
0x0011   000b000e    0001d0ea    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000e    00001c86    00000018    00010089    0000000c    000f3c86    00000014    000250b0    0000000a    000ec8b0    0000000a    000184b9    00000011    000f74da    000e0023    0011e0e9    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000e000e    3a603c8c    000c000c    3c81fcde    000b000b    3f5000c6    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    e7800000    
0x0012   0007000f    0002c75a    0007001b    00032b6d    0007000c    00010b73    0007000c    000e6732    00060006    000cfb1c    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0006000f    001d0717    0000000f    0001e32d    00000016    00000342    000c002b    000e5b34    00000014    000d6b53    0000001a    00005762    00280062    0003136b    00000022    000e5b5e    000c001e    0001036c    00000019    0001e36c    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000d000d    3ac20756    000b000b    00b23f67    000c000c    40c23f6c    000a000a    0062637d    00080008    420d1750    00080008    04ceeb6e    000a000a    003ffb5c    000f0011    00c2cb59    00100015    00a2eb63    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    03000000    
0x0013   0007002e    000e77c8    0007000f    0002c75a    0007001b    00032b6d    0007000c    00010b73    0007000c    000e2784    00060006    000fdbcd    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000016    00000342    00000014    000d6b53    0000001a    00005762    00280062    0003136b    00000022    000e5b5e    000c001e    0001036c    00000019    0001e36c    000c0020    001e2388    0000001f    00008fa4    002e00a1    000eabcf    00060010    001fe7cf    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000d000d    3ac20756    000b000b    3da17f9a    000b000b    00b23f67    000c000c    40c23f6c    000a000a    0062637d    00080008    420d1750    00170054    095d8fcc    00080008    04ceeb6e    00090009    003e37cb    000a000a    003ffb5c    000f0011    02202b8f    00090009    00b1e381    000d000d    05b237a0    000f0011    00c2cb59    00100015    00a2eb63    00000000    00000000    00000000    00000000    03000000    
