    BX        W0          W1          W2          W3          W4          W5          W6          W7          W8          W9          W10         W11         W12         W13         W14         W15         W16         W17         W18         W19         W20         W21         W22         W23         W24         W25         W26         W27         W28         W29         W30         W31         W32         W33         W34         W35         W36         W37         W38         W39         W40         W41         W42         W43         W44         W45         W46         W47         W48         W49         W50         W51         W52         W53         W54         W55         W56         W57         W58         W59         W60         W61         W62         W63         W64         W65         W66         W67         W68         W69         W70         W71         W72         W73         W74         W75         W76         W77         W78         W79         W80         W81         W82         W83         W84         W85         W86         W87         W88         W89         W90         W91         W92         W93         W94         
0x0014   0007002e    000e77c8    00060006    000fdbcd    0007000a    000ce01a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000001f    00008fa4    002e00a1    000eabcf    00060010    001fe7cf    00000015    0001bbef    000a0025    000ce010    00000015    000ea810    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000b000b    3da17f9a    000d000d    3d91f3e9    00090009    3e0d8814    000f000f    000e0ff1    00170054    095d8fcc    00090009    003e37cb    000d000d    05b237a0    00130035    40aeabca    00120026    00eea3ca    000c000c    44de9401    000c000c    025e0fad    000f000f    00bddbc7    000b000b    3deef7d1    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    03000000    
0x0015   0007000b    0000685d    0007000a    000ce01a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000015    0001bbef    000a0025    000ce010    00000015    000ea810    0000000a    0000c44e    000b001c    0010545c    00000011    000e205c    00000010    000d3c6a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0016004b    2e708458    000d000d    3d91f3e9    00090009    3e0d8814    000f000f    000e0ff1    000e000e    3e60ec23    000b000b    00a15c68    000c000c    44de9401    00000000    00000000    00000000    40000000    00000000    40000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    03000000    
0x0016   00070014    00010886    0007000a    0000bc8a    0007000b    0000685d    0007000a    000d7c8a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000a    0000c44e    000b001c    0010545c    00000011    000e205c    00000010    000d3c6a    001e003f    0010ec86    000a0019    001d7486    0000000b    000e5886    00000013    000fb093    00000009    0002c4a2    00000021    000140b3    0000001e    000dfcb3    0000002a    000fd0b0    00000000    00000000    00000000    00000000    00000000    00000000    0016004b    2e708458    000e000e    009fe894    000f000f    00b0609c    00090009    00bd6c7a    00090009    776f8896    000b000b    00a15c68    000d000d    01d13492    0011001f    415158c1    000b000b    4d52a8aa    00100016    00d00c97    00100016    40d10886    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000001c    000d54a2    00000000    00000000    03000000    
0x0017   00070014    00010886    000b000d    0000dce1    0007000a    0000bc8a    00090009    0001c0d4    0007000a    000d7c8a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    001e003f    0010ec86    000a0019    001d7486    0000000b    000e5886    00000013    000fb093    00000009    0002c4a2    00000021    000140b3    0000001e    000dfcb3    0000002a    000fd0b0    00090022    0001bcd6    00000015    00025cc8    00000011    000f00d2    000d0022    0010c4da    00000018    0002ccd3    0000000d    000e40da    00000010    000ce8e9    000e000e    009fe894    000f000f    00b0609c    00090009    776f8896    000d000d    01d13492    0011001f    415158c1    00090009    42a188d4    000b000b    4d52a8aa    000a000a    463f24ce    00100016    00d00c97    00100016    40d10886    000b000b    3a7f58ca    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000001c    000d54a2    00000000    00000000    03000000    
0x0018   000c0018    00012f1f    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00180036    00113b26    0000000a    000d7726    0000001d    0000a337    0000000a    000fe734    0000000a    00028f50    0000000a    0001c366    00000010    0000577a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000a000a    3f61ab14    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    f8800000    
0x0019   0007000b    000cf3b3    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000a    00028f50    0000000a    0001c366    00000010    0000577a    0000000c    0001ff81    000b001c    001d07b2    00000014    000e23c1    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00090009    3e3f33c7    000f0010    3dfcef8e    000b000b    3e2ceb8a    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    f8800000    
0x001a   00070011    000e67f8    0007000f    000e37ee    0007000b    000cf3b3    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000b001c    001d07b2    00000014    000e23c1    00000010    0002ffdd    00000063    000deff7    00200055    000e47f4    0000000b    000fac07    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000c000c    3ea0c81b    00090009    3e3f33c7    00140039    7e5e5ff9    000c000c    01d013ed    00120027    7e0e0ff4    000a000a    3e5ec7ea    00140039    7e2e2bfd    000d000d    3deef813    00090009    3e0d2fee    00100017    7e3e1800    000f000f    7e4ed415    000b000b    41bfb3f7    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    f8800000    
0x001b   00070011    000e67f8    0007000f    000e37ee    00070008    0002c46b    0007000c    0002d865    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000063    000deff7    00200055    000e47f4    0000000b    000fac07    00000015    000de823    0000000a    00001c5c    00000009    0002506a    00140030    0012c46a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000c000c    3ea0c81b    000d000d    3e014c4c    000b000b    0102f029    00140039    7e5e5ff9    000c000c    01d013ed    000a000a    02127428    00120027    7e0e0ff4    000a000a    3e5ec7ea    00080008    3d3f5031    000a000a    032e443b    00090009    3befd453    00140039    7e2e2bfd    000b000b    7e7e282a    000d000d    3deef813    000d000d    3e0f0022    00000000    00000000    00000000    00000000    f8800000    
0x001c   0007003b    000e747c    00070008    0002c46b    0007000c    0002d865    00070009    000140b4    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000a    00001c5c    00000009    0002506a    00140030    0012c46a    003b01ae    000e6878    0000001f    000d307f    00000011    0000ac94    0000000e    000db0a2    0000000e    000ff4b5    00090036    000130bc    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000d000d    3e014c4c    00090009    3e2d7c76    00110021    7e0ebc7f    000b000b    3fddf07b    000c000c    04c0f4c2    000a000a    3e50b08c    000a000a    3e6244b9    00120026    7e1ea87b    002200b9    3fbe6c78    00120028    7dfe7c7b    000a000a    032e443b    000a000a    007044af    00090009    3befd453    002700ee    3dbe607c    00120025    3f1ea87b    00000000    00000000    00000000    00000000    f8800000    
0x001d   000e0025    0000c8e4    00070009    000140b4    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000011    0000ac94    0000000e    000db0a2    0000000e    000ff4b5    00090036    000130bc    00000014    00030cd0    00250046    0010c4e9    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000f0010    7db2ccca    000c000c    04c0f4c2    000a000a    3e50b08c    000a000a    3e6244b9    00090009    01b1fcdf    000d000d    038294d6    000b000b    00efc4e7    000a000a    007044af    00090009    391dc8a8    00090009    7f00d888    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    f8800000    
0x001e   00070007    0001ef27    00060006    000e4f46    00060006    0001ab35    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000010    000f5b1e    00000010    00013b2c    00000017    00001f2f    000c0043    00021329    0006000f    001e5b42    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00090009    015f7f60    00100015    7f120730    00090009    3831a318    000e000e    7b1feb18    00080008    0d6f872f    0011001c    3f41ab36    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    df000000    
0x001f   00070010    000f73c2    00070017    000ee3aa    00070008    000f8bc8    00060006    0001efb6    00060006    000ecb8a    00060006    000e4f46    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0006000f    001e5b42    0006000e    001ecb88    0000000d    0000afa4    0017003a    000ecba4    0006001a    0001cbb8    0000000e    000ecbc1    00190037    001f77c5    0000000b    000d77cf    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00090009    015f7f60    000c000c    37e003c4    00090009    024f1395    000e000e    776fefba    00090009    77dcf397    00100014    3f0e9fb2    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    df000000    
0x0020   00070010    000f73c2    00070017    000ee3aa    00070008    000f8bc8    00060006    0001efb6    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000d    0000afa4    0017003a    000ecba4    0006001a    0001cbb8    0000000e    000ecbc1    00190037    001f77c5    0000000b    000d77cf    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000c000c    7dd0241b    000c000c    37e003c4    000a000a    01bd8813    00090009    024f1395    000e000e    776fefba    00080008    3b5233e7    00090009    77dcf397    00100014    3f0e9fb2    000c000c    3a107c0e    000d000d    01c22811    00100013    05ad57ff    000a000a    3d6d881e    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    df000000    
0x0021   00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0005001b    00031831    0000000a    0002504e    0000000a    0002c44e    0000000c    00001c6a    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000c000c    7dd0241b    00080008    05a0e82c    0011001c    41c3144c    000a000a    01bd8813    000b000b    06520462    00090009    08b0e85f    00080008    3b5233e7    000c000c    3a107c0e    000d000d    38c1745a    00080008    01d2f456    000d000d    01c22811    00100013    05ad57ff    000a000a    3d6d881e    00090009    02cf545d    00000000    00000000    00000000    00000000    00000000    00000000    df000000    
0x0022   00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000000a    0002504e    0000000a    0002c44e    0000000c    00001c6a    00000017    00017c78    00000017    000e207e    0000001e    000e60c1    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0011001c    41c3144c    000b000b    06520462    00090009    08b0e85f    000d000d    38c1745a    00080008    01d2f456    000a000a    3c1cf4b3    00090009    067dd4bb    000a000a    03df64b8    00090009    02cf545d    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    df000000    
0x0023   00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    0000001e    000e60c1    00000014    000150cc    0000000e    00028ccc    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    000d000d    3fe270c3    000a000a    03d058f1    00080008    3e41c4c3    00090009    3f323cce    000a000a    3c1cf4b3    00090009    067dd4bb    000a000a    03df64b8    00000000    00000000    00000000    00000000    00000000    40000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    00000000    df000000    
